,X7,X9,X11,X14,X18,X20,X21,X22,X24,X26,X29,X30,X34,X48,X49,X50,X52,y
1,67.16,0.3360477301536753,16.74,0.04183485011673396,0.9554266743510428,-4.66,3.9,2.63,2.75,0.81,58.17,1.56,0.68,17.05,0.6224877904678897,0.14347373990138682,-0.2687804127711387,0
12,314.69,0.7536148759618958,59.75,0.029168286083705124,0.925330062690962,-7.31,-11.96,-3.14,-3.65,9.71,82.94,2.62,0.49,-10.98,0.13299584955557806,0.05189968686060985,0.06908649923224086,0
23,67.56,0.13461323763303046,0.0,0.033329306813186015,0.7213148796087425,-6.3,-5.12,-4.47,-5.78,-1.04,69.79,1.9,1.16,-28.54,0.05041201327265393,0.08197179857273905,0.26692197872925016,0
34,84.87,0.37002667791226174,28.43,0.03506565564531736,0.7947942318153196,3.21,7.91,5.07,6.5,0.41,92.95,4.87,2.25,17.75,0.16479639511367908,0.005856963845434654,0.18464955932522825,0
45,93.52,0.4752258598007508,14.67,0.21085048603175024,0.7240282945526512,7.61,18.76,9.83,13.81,-0.65,79.35,1.81,1.08,14.45,0.2856995603100503,0.2230484327035968,0.1287910845853127,0
56,81.6,0.4192080005716645,7.23,0.07388983027312744,0.9854524566273456,-1.57,-4.02,-2.49,-2.52,0.15,92.78,1.58,0.75,18.56,0.31735614707788395,0.2454189162887654,-0.14902238324767245,0
67,198.26,0.6473166158326086,53.11,0.026765100622363917,0.32617053595005585,2.76,5.88,2.02,5.68,1.89,95.58,5.62,3.84,6.64,0.1038456202465282,0.06612052981859058,-0.05062687125748503,0
78,118.78,0.4957198796609317,31.14,0.006378754348391804,0.5955610300639966,1.76,6.15,3.25,5.41,1.27,91.71,5.18,1.97,7.73,0.1479839444925849,0.0730227626582794,-0.04062121208912901,0
89,115.44,0.3484876938762739,10.14,0.0745391802867356,0.4815970807668484,9.1,17.16,10.97,22.42,0.59,61.44,3.51,1.93,-7.53,0.05812907477328549,0.018944233822911195,0.5194050073343087,0
100,70.83,0.16558044405732375,0.0,0.01754805485595002,0.8859252831828136,14.72,22.85,18.74,22.37,-2.97,41.94,1.19,0.56,9.95,0.004832895293552811,0.0035564548791276007,0.9487499850828924,0
111,23.54,0.5438782657934099,0.0,0.2855226245831857,0.9716381708565416,13.97,30.11,16.0,16.59,-0.94,74.93,1.5,1.26,102.88,0.2518958087877536,0.3711254689299971,0.5169257525328124,0
122,95.31,0.3972383649633846,4.67,0.09158817644020116,0.7166971953628674,7.84,21.86,13.47,20.61,1.57,82.45,2.12,1.28,35.03,0.19198138961445432,0.04095199637696752,0.2447239598237882,0
133,62.21,0.17384046108508674,0.04,0.0424247352504799,0.7697758588260714,1.68,5.58,4.37,5.38,1.19,65.5,4.23,0.79,-23.68,0.0804691889118453,0.20395443550739428,0.4644999845076734,0
144,79.85,0.361474892731302,0.12,0.0994821847698839,0.8378641913413382,4.43,8.99,5.9,7.49,-0.04,77.49,4.78,1.89,11.9,0.14240009761798733,0.17113311098174305,0.15280609758840155,0
155,178.55,0.491997529709813,29.53,0.003884888274480003,0.3254002462686189,-0.14,3.16,1.62,5.14,6.52,89.36,4.91,0.66,24.34,0.11654138990762992,0.00666623118914874,-0.017690422188939285,0
166,92.39,0.3536797906681451,25.88,0.007685917930386028,0.6892697003416319,1.12,1.19,0.76,1.09,-0.36,85.33,2.57,0.75,-5.25,0.3706305449178138,0.08211228380615004,0.1152802883273833,0
177,36.17,0.19117328361665786,0.0,0.040172005557570084,0.9511077871967608,21.19,31.26,25.05,26.67,-0.53,42.82,1.82,1.09,27.25,0.3145537707984595,0.19547290685323174,0.7680353364898369,0
188,102.4,0.5115596480636373,32.74,0.0019414147530044414,0.8268389181129213,2.43,6.28,3.07,3.5,0.96,69.48,2.78,1.2,36.78,0.1793076294698264,0.031813577359694395,0.3658330409377814,0
199,65.12,0.3436583265598803,13.97,0.04727969600055011,0.8604687401259279,2.63,9.43,5.35,6.12,1.04,83.83,3.56,1.24,-30.6,0.17587617406402944,0.09260567795245724,0.4003195517446875,0
210,86.82,0.4300819468280087,21.21,0.20494168551038613,0.6503182874132221,-0.08,2.71,1.55,2.45,0.98,89.7,1.51,0.96,15.72,0.2698426647029577,0.21412210012801794,0.04219322618323424,0
221,38.65,0.185261706507578,0.0,0.0863962679917647,0.9380126678475088,14.77,20.64,16.63,16.65,-4.54,36.75,0.96,0.62,25.98,0.0239586485556622,0.07833475798550796,0.8223504549952826,0
232,84.65,0.5962090236366988,34.7,0.1299767352215559,0.9362766093507959,2.15,9.76,4.09,4.49,1.83,84.89,2.03,1.04,29.03,0.3830457449242985,0.2844287958331111,0.034684735694834185,0
243,193.54,0.7054743815616862,53.41,0.007201478865023802,0.7079273703236653,1.08,18.98,5.69,7.93,4.79,81.41,1.9,0.96,17.06,0.2164801445581992,0.12376014337071906,0.0044650674163772,0
254,169.81,0.6522683209543676,28.12,0.004840426585202186,0.8922991945183687,-0.18,5.44,1.92,2.11,1.55,93.32,3.18,1.35,11.58,0.2611703550056801,0.23897947013465284,0.04465942421052547,0
265,45.39,0.3880000520685198,0.51,0.04588633000227377,0.7585156492226646,8.6,18.64,11.05,14.01,-1.44,84.8,2.29,2.03,13.4,0.042127626762335335,0.028586713742210557,0.5566527756513437,0
276,66.8,0.10216198672356268,0.0,0.2332762119835216,0.8215828838664742,2.9,3.27,2.92,3.42,-1.39,57.17,1.78,0.75,-15.08,0.08656413859865039,0.04057091434728157,0.3650367811519565,0
287,109.28,0.4635935457857408,17.98,0.01521922187563936,0.9333252926182548,-3.25,-8.71,-5.47,-12.89,-0.13,100.74,1.9,1.86,10.06,0.05167410980654665,0.011846207072434613,0.08339671315698684,0
298,68.15,0.4698710490405159,11.99,0.06285467437648486,0.9207224264505104,5.38,11.56,6.77,9.08,-0.32,67.78,2.18,1.28,35.72,0.19408343956942425,0.14383133320409025,0.1473190333662806,0
309,135.37,0.4316347957108351,32.23,0.03748222109103864,0.4966668124323102,0.72,3.25,2.2,3.36,1.39,76.38,3.1,1.21,-25.75,0.1834457590767704,0.13151217398991902,0.06524582267577766,0
320,126.59,0.5833590458274234,46.04,0.041465323274223975,0.9146581009158644,-22.27,-46.81,-19.2,-20.89,6.09,99.06,1.17,0.44,-36.69,0.8993342973457952,0.15171141421108192,0.06942811523741506,0
331,171.8,0.653271802761418,51.31,0.08138296099382114,0.5929530290476976,2.13,14.42,5.36,9.0,3.06,86.37,2.65,1.48,30.16,0.2442024445836346,0.12954762906675638,0.013754361607596818,0
342,37.86,0.18931726750014075,0.0,0.0245268933742168,0.8489860589355361,17.19,23.26,18.62,21.78,-2.41,75.32,1.35,1.1,13.65,0.1101453230915981,0.011494493190438744,0.8879841774812582,0
353,70.63,0.4533672286407247,26.86,0.06335044194070685,0.6894200637023128,-13.79,-19.93,-11.39,-14.86,2.49,88.08,1.24,0.74,-18.92,0.2615873373244571,0.2541289188371669,0.018699789468807442,0
364,373.07,0.8148420195453089,50.66,0.06423970142815946,0.5281118364453906,-38.42,-126.82,-44.04,-73.44,9.62,120.22,0.77,0.5,-54.95,0.16040148183737316,0.27468149250763285,-0.10020673806762813,0
375,45.2,0.2034570948406491,15.63,0.10556370095461633,0.97192619392209,7.67,10.73,7.35,8.14,0.32,56.13,2.05,0.6,64.38,0.21141371479186435,0.004973542355245196,-0.13979457133587986,0
386,51.48,0.41670747029222505,31.43,0.029769035305649005,0.9366280858253496,-27.45,-27.17,-18.19,-20.14,-1.61,94.92,0.59,0.34,101.16,0.4360716165558445,0.11438270126681625,-0.26459291860097045,0
397,213.36,0.8051321488771481,39.08,0.017876378250777702,0.9043445412091016,-0.94,11.95,2.29,2.51,1.75,91.31,2.98,1.54,16.77,0.2601644851608368,0.14838276773980075,-0.01159849124301496,0
408,136.17,0.5659880523995681,43.83,0.0004085863336891614,0.4337576115632048,1.45,5.24,2.35,5.56,4.62,86.15,0.75,0.7,6.31,1.0124332701637015,0.11650959947998793,0.0018848150392036093,0
419,93.81,0.3852963150069068,32.0,0.06817991966425302,0.5576046843537067,2.05,5.76,3.95,6.09,2.76,73.28,1.87,1.1,-5.66,0.29958263997822904,0.05929124055411525,0.09750597050112952,0
430,63.74,0.1341932156251643,3.92,0.13086764662025624,0.7855266703405811,6.15,10.09,8.86,11.34,-1.3,76.3,1.19,0.58,20.96,0.3440513848050352,0.10212950547406648,0.5287729628932385,0
441,66.64,0.12142885419634135,1.8,0.07817302390937206,0.7503127440946556,2.7,4.04,3.58,3.88,-1.54,26.2,1.42,0.55,13.82,0.2064546760696293,0.14364407829394688,0.9525988947016452,0
452,142.27,0.6946816184757935,42.88,0.024457112381873442,0.9054127041838691,-6.41,-20.5,-3.39,-3.78,2.35,93.47,2.81,1.0,10.94,0.15330374377688585,0.13397230175208402,0.12350976523511918,0
463,111.19,0.4127382644383802,26.09,0.05884250713322325,0.8245191774104751,5.53,14.66,8.0,10.59,0.75,80.09,2.32,1.03,-20.34,0.16858878032014632,0.08362171834826056,0.038673046338530206,0
474,116.27,0.3981278365421537,27.61,0.032120826831196964,0.4506955070933391,2.36,5.16,3.1,6.8,-0.17,87.57,2.35,1.24,0.19,0.2257579165162639,0.052929289553680314,0.09959636021910978,0
485,37.43,0.2274698550152015,7.19,0.07285805602383298,0.9857116557682112,10.47,17.62,13.7,13.87,-0.54,73.81,1.84,0.94,12.02,0.2444282447315028,0.13423200005260796,0.4929846424722961,0
496,75.5,0.2324706244543249,20.22,0.08168781239367941,0.4750975740911785,0.72,4.42,3.41,6.72,0.37,45.68,2.5,1.83,23.53,0.06146302365396415,0.013227114127838228,0.15475493450975358,0
507,134.74,0.5372827903555065,25.55,0.034885614150377664,0.8834030074839264,1.11,5.96,2.91,3.31,1.8,82.68,3.11,0.92,34.31,0.3053237008185505,0.23954090111432544,0.0935834693604308,0
518,55.01,0.24020812132208544,2.6,0.03528391728477512,0.8901984830702898,6.89,14.14,10.47,11.7,-0.02,65.37,2.4,0.99,-0.56,0.2937530224121181,0.18040021424103708,0.2720572707519408,0
529,81.7,0.5352399847670578,23.79,0.29949195086884906,0.8854670440258402,2.73,12.01,4.91,5.68,1.28,78.0,2.74,1.56,27.47,0.0,0.09179419401703033,-0.04981315502249849,0
540,91.49,0.3188686398507896,4.65,0.024415956999001967,0.8147944518247141,4.02,7.55,5.14,6.27,-0.91,74.28,2.87,1.12,3.68,0.08025864326873937,0.2144715695505625,0.16240218606276616,0
