,X7,X9,X11,X14,X18,X20,X21,X22,X24,X26,X29,X30,X34,X48,X49,X50,X52,y
0,96.39,0.5063871291542916,38.58,0.010948796781119041,0.5609026102593563,-1.98,3.31,1.76,3.31,8.99,66.85,0.88,0.68,38.88,1.1547368179120696,0.4455313992414061,-0.1710105082047715,1
1,93.26,0.5089073056335868,41.4,0.060277769670474574,0.5749941951285718,-9.67,16.78,8.26,13.47,10.22,53.96,0.81,0.61,9.44,0.8444859068240229,0.17024542727364586,-0.11338957814370712,1
2,132.05,0.6247078556878363,49.48,0.00028780216844448485,0.8079961012548389,-11.7,-23.49,-8.07,-10.49,3.44,86.16,1.93,0.95,10.64,0.16478900516915673,0.0993457423487707,-0.07328393878802268,1
3,99.72,0.6590687248067731,53.3,0.2033414520327861,0.7735388634990403,-30.08,-27.65,-9.91,-12.53,5.53,85.71,1.21,0.75,24.34,0.0683681561537647,0.04622189604619338,-0.18977476176017788,1
4,3166.58,0.9745365140414698,68.64,0.046445711690721335,0.919282221852114,-9.0,-69.29,-4.43,-4.86,13.64,107.93,2.82,0.39,-5.15,0.10679367164680978,0.2839110937547896,0.033943760916796926,1
5,0.0,1.6806215492543044,105.54,0.025409641706535827,0.8888159034653914,-57.3,0.0,-10.93,-11.59,25.5,125.0,3.28,0.39,-63.06,0.04755795440771073,0.31209319468245555,-0.018790211494420117,1
6,2895.84,0.9692836366415232,0.0,0.018014809204464816,0.9064850783634184,50.78,0.0,-10.05,-10.41,19.2,126.56,4.59,0.31,-14.18,0.0940887049951923,0.019686419573747144,-0.030189424253164163,1
7,0.0,1.1182065135232575,0.0,0.021023073266466224,0.9219179430410828,-14.37,0.0,-9.47,-9.57,23.29,126.19,5.85,0.34,-31.61,0.0352645637854969,0.008957617763065254,-0.012068576047261229,1
8,58.04,0.3429528376185961,15.1,0.025550650116918632,0.8140544386590255,-26.11,-41.4,-26.28,-28.76,0.09,93.73,1.36,0.81,-41.61,0.3304492252090713,0.10924113419860493,-0.5564047694206146,1
9,1459.83,0.955309320910638,72.68,0.023654470020085104,0.3821862590697016,-77.01,-543.32,-66.12,-111.07,6.9,98.24,3.14,2.65,-63.6,1.0651711670048334,0.008076060871021152,-0.8463872493178315,1
10,54.49,0.33822626720380605,16.25,0.06664497336811229,0.8015016025480013,2.01,8.53,4.93,5.36,1.63,41.93,2.33,0.83,-2.61,0.1269667416836469,0.2480974407325397,-0.27230151460037805,1
11,42.86,0.31302370955743075,14.61,0.16281782368286235,0.8980140620307504,-25.8,2.35,1.58,1.7,0.86,44.11,1.82,0.83,-1.08,0.11817614491783425,0.18231976186443616,0.13987912119058804,1
12,65.53,0.4176317456142713,24.24,0.18173862233511295,0.8174546536996941,-47.35,-5.95,-3.79,-3.88,0.21,43.97,1.93,0.83,-19.7,0.14283437169967542,0.2089020725212343,-0.12347702082855813,1
13,75.82,0.5457107198031311,33.58,0.061967417499677366,0.7397926059590143,-17.49,-14.41,-7.32,-9.15,3.32,41.77,1.71,0.89,46.16,0.08678895281914611,0.2308440631863635,-0.10146658094622824,1
14,520.51,0.964340573809449,34.06,0.03311829126938668,0.8487101186512095,-24.56,-156.69,-22.83,-27.62,6.99,102.62,0.74,0.7,-39.79,0.3940903507743249,0.26511622275042585,0.1827190837136851,1
15,424.77,0.9269154551988552,16.61,0.014094979412860824,0.7327693202547622,-21.83,-279.66,-14.18,-18.43,9.78,106.51,0.71,0.66,-43.13,0.6314299838140909,0.04928904361964738,0.1020490292597264,1
16,0.0,1.4708807875862984,21.74,0.0056536182418068645,0.7547931791301493,-40.89,0.0,-29.61,-42.79,14.15,119.83,0.85,0.76,-42.94,0.9288710555323424,0.02356197978809393,0.045159957339825633,1
17,470.65,0.8662002877389599,41.44,0.0008229254333166152,0.696114146542251,-28.21,-68.56,-17.35,-25.49,0.12,102.33,10.16,5.96,-52.09,0.02841566016697605,0.03581906764433036,-0.2818974016502732,1
18,0.0,1.072757458948597,81.24,0.06582045659827017,0.6385829127864744,-22.24,0.0,-14.86,-23.83,1.63,104.46,5.52,2.37,-55.37,0.0587392192243581,0.04983717722749238,-0.1909194134325427,1
19,818.11,0.9265718120366806,45.67,0.07663536329179113,0.6546537987242107,-8.21,-109.95,-11.43,-14.26,0.64,103.05,8.06,3.36,-44.43,0.036429597465595334,0.13708333694675778,0.0008366695857661857,1
20,740.3,0.8820251650584446,63.77,0.013656205829538607,0.6769788977871406,-10.53,-421.55,-36.78,-54.34,1.7,108.42,16.15,4.66,-85.72,0.003964174781611281,0.03510640212435045,0.18498822228637304,1
21,82.35,0.04103586204107542,0.0,0.06953904291583557,0.21233022901848933,-13.98,-1.48,-1.2,-6.65,15.8,100.09,0.6,0.52,27.04,1.247207679340481,0.020460291870013133,0.1487683161870517,1
22,294.79,0.844524422766602,56.49,0.012509894929358414,0.9424615150484442,-36.65,-26.44,-9.06,-9.37,1.92,95.58,2.17,0.98,-39.89,0.1470003837747174,0.2050669662436276,-0.3243484785279239,1
23,585.07,0.9324234707066212,63.7,0.0019827338354265448,0.9947494821675579,-28.51,-108.1,-21.82,-26.51,1.07,71.85,3.36,1.31,-11.07,0.1714443802401742,0.22046918035137947,0.086091241696996,1
24,134.46,0.5022653478547819,19.33,0.0024138667543051238,0.5409897316654366,0.38,4.53,1.95,3.47,4.22,79.89,1.79,0.66,-29.47,0.4190067704097685,0.8177119925492865,-0.005109046786141448,1
25,176.08,0.6546357498101003,38.45,0.0011430921927106446,0.4378690083052799,-51.33,-50.23,-22.6,-45.42,28.13,135.49,0.51,0.2,-45.8,1.32979469517865,0.2187789177268408,-0.4173327123814343,1
26,208.52,0.5527575190013404,35.43,0.0006110973456894701,0.08381746075981081,-23.35,-63.55,-24.42,-83.39,30.69,175.14,0.4,0.27,-89.35,3.9647604799923815,0.17413023998054508,0.05490715071465965,1
27,277.59,0.8065172394513821,55.5,0.04950375972330921,0.85495499467915,-11.96,-23.52,-5.47,-6.71,4.49,92.18,2.22,0.95,-6.01,0.30252379820758396,0.20253034038020296,0.018863158332834282,1
28,641.19,0.9076745205856496,64.91,0.0042663185891298255,0.8523093425792817,-25.04,-64.82,-9.62,-11.68,6.39,96.59,2.1,0.86,-29.31,0.35788847293104903,0.15386061802240442,-0.1393791240168567,1
29,497.44,0.8153898259858426,66.32,0.00643223419448396,0.1379258288504962,-34.67,5.47,1.5,6.72,21.42,79.04,2.95,2.17,-75.9,0.08402188232889081,6.286271223686455e-06,-0.09756617658994857,1
30,295.86,0.7639716112815449,72.36,0.016050805124400925,0.9858409749959676,-13.09,-29.39,-8.34,-8.54,7.37,105.4,2.58,0.6,-26.46,0.3272527270678093,0.017012770009875142,0.03276083895702708,1
31,292.56,0.7226973160705031,63.83,0.003376483555011208,0.21955099079784915,-25.05,-47.66,-14.52,-62.67,42.17,115.82,1.41,0.87,103.63,0.2281131808603181,0.12921581878502006,-0.0019100506163776234,1
32,376.66,0.7682572364061857,67.02,0.017840849632023276,0.16735339317500608,-14.75,-37.61,-10.05,-46.55,38.27,82.56,1.19,0.73,-80.68,0.048132084736868114,0.013877210304080248,-0.3203379267380241,1
33,0.0,1.0324103593226377,90.62,0.012313378924188444,0.02103933984015853,-29.84,0.0,-13.23,-109.93,52.12,184.98,1.43,0.45,-87.81,0.0,0.009718899737096028,-0.04998111061341607,1
34,148.49,0.432677623453596,39.26,0.06418139560080759,0.9524655932975008,-28.8,-38.03,-25.17,-31.04,5.94,128.85,1.27,0.3,-60.42,0.07656290352914266,0.028434382826634918,-0.2532391046740974,1
35,306.91,0.7346414451599859,49.86,0.03940918858764055,0.9691043578533468,-26.81,-57.18,-22.81,-25.49,5.49,105.34,3.9,0.52,48.55,0.08903805511637224,0.2570088954094472,-0.10947671879046617,1
36,0.0,1.0767979330307391,76.63,0.011065141549894748,0.9843329864420874,-37.64,0.0,-29.03,-31.56,0.0,137.22,5.1,0.55,-73.41,0.011484463515119274,0.25528770845199794,0.0,1
37,0.0,1.0919985310317764,86.14,0.009728922226206478,0.7020698470363619,-34.75,0.0,-29.89,-38.97,9.27,111.87,2.07,0.68,-62.49,0.44465906821132817,0.2493116542798755,0.05611489257508236,1
38,450.8,0.8258315406783187,63.99,0.052709920517779216,0.30706387574011085,-15.68,-12.08,-2.78,-9.42,7.89,92.69,0.76,0.42,-2.71,0.4253385332683675,0.08944073001768127,-0.006544540483928458,1
39,443.88,0.9073697129932072,61.79,0.003807330311337216,0.7688942163740135,-78.28,-696.2,-74.9,-100.57,26.41,151.78,0.31,0.22,-13.2,0.23823663745089085,0.08920078291209259,-0.7636349267436937,1
40,71.96,0.4892667703472032,0.12,0.15208462751805032,0.7703404433457255,-14.52,-51.36,-21.5,-37.37,2.09,78.93,1.31,1.34,-59.78,0.24395138587002546,0.11210311814748658,-0.5370613218628296,1
41,69.54,0.4624437403343666,0.13,0.15669560398004728,0.7450620802888189,-30.06,-56.82,-29.75,-35.23,2.5,80.33,2.28,1.15,-9.55,0.2261059030174439,0.05604333716651007,-0.14789140063532927,1
42,175.36,0.7017322503715572,0.18,0.06978114068323893,0.6339043683184671,-38.68,-95.3,-41.8,-51.26,2.05,77.66,2.52,1.08,-46.28,0.2963974193782312,0.1304307018110849,-0.5071909365612828,1
43,93.98,0.4696180144518426,24.59,0.01094804808513525,0.5737982007168777,-6.34,3.28,1.44,2.07,9.12,81.61,1.04,0.58,-14.82,0.7976496131645286,0.3489190578831292,-0.13069724221657034,1
44,94.6,0.33834263019216515,17.0,0.010890095117507808,0.5164339932775321,-11.67,4.05,2.71,5.75,2.81,90.85,3.45,1.73,40.27,0.23212573788890345,0.1979438390526085,0.01851923733071889,1
45,152.21,0.6733694884872222,39.4,0.0007969376055510642,0.5454569932313862,-25.94,-31.83,-13.51,-23.98,3.34,96.84,2.5,1.62,12.38,0.3146060122197272,0.08573336288758898,-0.2768954716747578,1
46,64.51,0.3280196430991396,14.5,0.012354615841725716,0.6050921759628166,-28.67,-30.48,-15.51,-26.14,1.81,95.22,1.41,1.13,25.64,0.4567903588112858,0.13208993350536571,-0.9775024113188298,1
47,93.4,0.4384303075207043,33.7,0.011144886594378805,0.485899969000087,-47.72,1.89,1.14,2.15,1.92,84.44,1.42,1.24,34.95,0.4076028395272985,0.05237130806321176,-0.3365792394841814,1
48,75.22,0.22064007428428584,18.02,0.012479781339578722,0.4200572427430364,-23.11,-25.07,-16.94,-37.53,9.51,88.12,0.66,0.61,-4.05,0.7562036880081849,0.02507611566430134,-0.5754183729431923,1
49,157.19,0.7468352194485902,56.35,0.0016918508697814185,0.7839516426898128,-14.71,-7.22,-2.29,-3.61,4.97,95.13,1.58,1.22,32.57,0.16385725102950305,0.13423656191967967,-0.045478564127038185,1
50,0.0,1.555395999331126,113.01,0.00087071887024914,0.8586315778049834,-68.58,0.0,-44.5,-78.97,20.05,196.26,0.62,0.62,-63.04,0.2755637258570857,0.1867351185741434,0.04938593040392305,1
51,167.94,0.6400090831776987,57.14,0.009309335236597672,0.8957766945324023,-7.72,-18.64,-6.76,-7.52,4.04,98.49,1.7,0.68,-32.39,0.2844298320700427,0.04251481402594385,-0.21830279561041527,1
52,188.28,0.6291675052940154,56.61,0.012083355696343164,0.8695997408842475,-14.79,-24.77,-9.04,-10.48,7.56,103.28,1.49,0.44,-37.77,0.2735223859207314,0.06650379452811885,0.1725321065084524,1
53,205.01,0.6644344855721844,55.91,0.006039321237997067,0.8676593195020836,-25.86,-29.29,-10.4,-12.21,13.32,102.73,1.14,0.31,-15.12,0.7006193167317926,0.16052962062512025,-0.12132459588021975,1
54,781.6,0.885627703737574,74.94,0.0035032448061332985,0.8598555598448929,-30.72,-100.74,-24.77,-28.8,25.73,166.78,0.84,0.17,-76.84,1.0795884867217898,0.18390048534861486,-0.0017958072914474094,1
55,298.54,0.7810828372236566,63.21,0.2193823531216166,0.8104760118890275,-55.01,-54.48,-23.77,-28.96,6.01,118.77,0.73,0.36,-45.13,0.1268388586071951,0.1232482510658145,0.1005634054562848,1
56,206.99,0.6762555024165501,47.3,0.013690901286192944,0.8774160066883047,-10.6,-15.61,-4.17,-4.62,10.55,79.66,1.03,0.36,-18.77,0.14323626540921458,0.2360589407640197,-0.1620069190553744,1
57,755.65,0.8862642646848999,60.14,0.00031201500250394726,0.7402469220940131,-80.04,-150.88,-36.83,-41.28,26.84,162.08,1.1,0.27,-73.96,0.20145418976092425,0.13018235224332453,-0.5526225603903133,1
58,180.62,0.5911662794335266,32.78,0.007001683657870062,0.73508066033829,-19.43,0.2,0.08,0.11,8.22,93.0,4.22,0.81,69.99,0.20018674417009,0.09384413137366024,-0.12013420733217167,1
59,392.37,0.8550421201598277,47.77,0.0014891291009878724,0.8240145588102789,-38.23,-114.4,-36.13,-38.51,0.7,114.96,4.16,1.94,-50.36,0.12058217706123688,0.13006787991544938,-0.4603421629428892,1
60,240.02,0.7861468788914889,49.75,0.004595305459711934,0.8151066650969688,-18.67,-100.79,-17.75,-21.42,1.68,95.39,4.39,1.89,-7.08,0.20930407681191612,0.1494423933660518,-0.2420086002474655,1
61,178.67,0.6478265726201256,40.6,0.002056267711361589,0.7214213619240388,-23.39,-59.15,-15.5,-20.34,1.58,102.47,3.99,1.84,-59.39,0.2633869395587757,0.09175268153922717,-0.15576619683377646,1
62,68.35,0.5011469771433575,28.42,0.04150162822866386,0.6629893824989194,-44.33,-38.72,-16.28,-26.77,5.25,83.31,0.79,0.59,55.07,1.454998406254862,0.5000175450561121,-1.0206353726859323,1
63,0.0,1.1920982316281197,7.77,0.023143520438191338,0.8184856531009239,-51.25,0.0,-6.82,-7.68,17.6,111.05,0.67,0.24,-15.71,1.4398399051467925,0.2896791554246056,-0.02019626810754543,1
64,182.99,0.5265296698929413,15.01,0.003219016067649361,0.19273392108162155,-9.72,-6.38,-3.18,-4.03,4.94,78.97,0.17,0.07,-80.8,0.5097774663342037,1.9636059946471671,0.02568213118015193,1
65,280.48,0.6903857496666704,16.51,0.0019357172549869391,0.19362432541489874,-18.88,-1.12,-0.45,-0.57,7.11,68.39,0.77,0.07,-18.77,0.19554905755863547,2.596391943854248,0.03159602187611476,1
66,757.49,0.8866120204435425,14.97,0.0013148538022261418,0.21794904628358425,-25.95,-68.13,-15.41,-18.73,-82.26,63.4,0.88,0.07,-20.8,0.5939508120418829,3.314435069534732,0.0877171935330178,1
67,117.93,0.5506794379383632,46.24,0.0015870538468588955,0.9104652792201892,-5.89,-10.3,-4.69,-5.05,4.32,85.06,1.84,0.55,-5.25,0.3756498278555687,0.0458198232144704,-0.029279452346073258,1
68,114.84,0.4471318786817248,35.49,0.003674668437702925,0.7154613622868642,-12.02,-16.07,-8.13,-10.02,4.15,92.3,1.65,0.51,-7.25,0.3953850644284858,0.06470695511902669,-0.03972298037072945,1
69,180.73,0.6476849495724843,28.88,0.003809287127865472,0.9052706473570312,-57.75,-29.85,-14.24,-17.91,3.55,100.17,1.67,0.44,-39.38,0.4315243841891077,0.11002983980707856,-0.014213965385584322,1
70,66.67,0.429233590258976,20.37,0.0006796391478487518,0.9773302732629536,-31.11,-24.3,-12.37,-15.15,7.95,95.77,0.87,0.47,-23.49,0.22390580095212065,0.015924985205129034,-0.06756703951375828,1
71,132.51,0.4664312550365232,19.7,0.003314995906333743,0.9813261954236704,-21.43,-32.22,-17.8,-23.06,3.2,106.72,1.44,0.52,-54.37,0.2122428739026352,0.06343239731714588,-0.2426036544593169,1
72,146.85,0.6064618177679625,51.01,0.052623925725591485,0.5291560628111558,-34.23,-29.48,-14.1,-37.69,11.73,113.43,1.22,0.88,164.6,0.15871131878377173,0.11762220658696335,-0.23177245380751466,1
73,118.95,0.3578251262065639,19.24,0.03242199431455965,0.2492356038583535,-54.23,-12.55,-6.12,-17.26,5.12,88.06,0.98,0.91,-65.71,0.10376812297977292,0.14917768605786508,-0.06623178569849504,1
74,81.85,0.3195114821847802,26.4,0.003937585659363618,0.4493063180612486,-6.21,1.97,1.31,3.62,2.09,90.87,1.48,1.38,103.5,0.07102298338205308,0.017199820935416766,-0.16792832978530964,1
75,71.94,0.04347991727851532,0.27,0.008476053113064586,0.3252064615355766,-10.65,-2.1,-1.84,-4.61,-4.03,93.51,2.93,2.41,-16.01,0.04242807985357856,0.003720461805610164,-1.7620373112963774,1
76,76.83,0.04770801016251915,0.33,0.08266793958253353,0.275608653539039,-22.67,3.8,3.63,7.76,-7.48,62.38,1.25,0.78,-28.69,0.12562944010672886,0.010545919743340142,1.5541062703166848,1
77,62.81,0.04919358817775425,0.0,0.09397215908717736,0.41309163513864794,-6.65,-8.92,-8.49,-15.91,-16.07,99.81,0.59,0.36,79.78,0.25804357901671593,0.1231608393060104,-2.336445638561396,1
78,51.29,0.07604196116827902,2.02,0.050316226002304634,0.7000184511409885,3.64,-12.94,-12.13,-16.63,-12.9,96.77,0.59,0.3,39.89,0.21330570873073773,0.03363156781251493,-0.6953312483214499,1
79,105.56,0.4007946330799243,28.23,0.01835947699883116,0.540831621398822,-47.44,-6.6,-3.75,-6.03,4.18,69.18,1.85,1.03,-30.37,0.3010217875435301,0.11187285638426436,-0.3249820121023468,1
80,117.79,0.4428028158670931,30.14,0.045965077280176535,0.5454742619410817,-15.64,-14.9,-8.6,-15.54,2.99,63.57,2.08,1.18,6.64,0.20518311026045002,0.1746707029507742,0.03275611420174242,1
81,171.71,0.7013345654778973,56.12,0.0809578618549392,0.7606341568505288,-71.26,-31.16,-13.92,-21.23,4.14,62.21,1.91,0.89,5.77,0.11589700809222132,0.1111894652160891,-0.17539308501204934,1
82,105.32,0.2033392755060359,16.75,0.0031471475721315486,0.23942012663197595,-1.14,-4.97,-3.52,-5.73,29.77,112.65,0.1,0.08,-83.04,1.7956286206100902,0.07928209692153762,0.208616044360042,1
83,92.35,0.2401716606846482,17.27,0.005169276376558922,0.39709569941250383,-28.07,-4.73,-3.69,-10.39,-49.77,99.42,0.26,0.16,36.5,1.7993262332594158,0.6426554869247532,0.12132879053510864,1
84,171.82,0.4543235151420528,28.35,0.00045977903161852746,0.2408395644648109,-58.2,-15.03,-10.27,-26.33,23.54,78.03,0.38,0.21,-88.27,2.4043863066687026,0.8783737028083404,-0.034314862477468185,1
85,1034.4,0.9366102958676572,49.61,0.012444543317529186,0.7688805794959055,-36.31,-188.49,-29.61,-34.52,0.0,157.71,0.48,0.12,-41.09,0.7622345116584051,0.7318164823604979,0.0,1
86,56.37,0.16125937584014113,14.75,0.06459114840792916,0.5650410591707692,-123.56,1.64,1.47,5.22,6.78,89.97,0.91,0.64,-2.11,0.38550917273231294,0.0102532527840857,-1.5047968229779716,1
87,30.96,0.2973826680107108,17.05,0.04736377373697402,0.7869858128302055,-64.11,10.81,8.34,12.02,-0.16,86.01,2.69,2.54,47.3,0.16056566722055635,0.049218437792289085,-0.007641299406256645,1
88,67.13,0.11338126790528615,2.53,0.05306020651859402,0.945480673382061,-5.68,-19.84,-15.49,-18.01,-0.51,99.63,0.52,0.37,-61.77,0.2794767493663547,0.09730038232981317,-0.12541400976136766,1
89,1010.83,0.9249990597638188,83.39,0.07242608715623336,0.9841515594531648,-81.79,-69.17,-27.94,-36.01,2.38,95.53,3.19,1.33,-71.67,0.314110545364062,0.02598211139514708,-0.3171364309606077,1
90,246.86,0.7982347257204953,71.89,0.13690003034978726,0.9900042880630175,-3.3,-99.54,-14.83,-16.85,23.78,91.43,0.59,0.26,191.32,2.617020045943243,0.27413246252295725,-0.22570573939187885,1
91,1609.3,0.9560377919793822,83.92,0.0073078563105136015,0.7864414550810596,-32.17,-46.55,-8.42,-10.74,16.0,98.92,1.45,0.49,-24.15,0.10567851543323643,0.11786105154480192,0.1007659811820396,1
92,220.07,0.7491034469676929,50.92,0.04434461166668372,0.8404316177379673,-13.72,-1.55,-0.24,-0.3,9.44,85.27,1.79,0.82,78.12,0.1326050901792176,0.3387520545920466,-0.016983523430116387,1
93,316.23,0.8085723998883433,63.34,0.000422031318985936,0.8348542683195478,-32.29,-61.28,-13.68,-16.13,16.91,110.22,0.64,0.32,-23.82,0.5117883753113048,0.36300386406836216,-0.19947468259942372,1
94,144.64,0.5976150732608191,46.16,0.02258675014809241,0.8977879850785203,-1.7,13.91,4.04,4.6,10.95,67.51,0.57,0.26,-6.72,1.1018231791415385,0.35828465367903084,0.04522301500163097,1
