,총부채증가율,부가가치증가율,고용인증가율,유동비율,당좌비율,유동부채비율,비유동비율,순운전자본비율,부채구성비율,부채비율,차입금의존도,비유동장기적합률,청산가치율,현금성자산비율,이익잉여금비율,자본잉여금비율,매출채권대비매입채무비율,경영자산비율,자기자본순이익률,총자본순이익률,자기자본정상영업이익률,총자본정상영업이익률,경영자본순이익률,경영자본정상영업이익률,매출액순이익률,금융비용부담률,매출액정상영업이익률,매출액판관비율,매출원가율,당좌자산회전률,재고자산회전률,자기자본회전률,총자산회전률,경영자본회전률,비유동자산회전률,매출채권회전률,매입채무회전률,유형자산회전율,부가가치율,설비투자효율,총자본투자효율,총자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,유형자산증가율,유동자산증가율,매출채권회수기간(단위 년),매입채무지급기간(단위 년),영업활동현금흐름대비유동부채비율,영업활동현금흐름대비총부채비율,영업활동현금흐름대비총자산비율,영업이익대비영업현금성자산비율,영업이익대비EBITDA비율,자본잠식률,y
0,0.32952279969821097,23.794660678642717,0.054054054054054064,104.79,92.38,101.34,96.39,2.4,0.5063871291542916,102.59,38.58,0.9520060905810525,1.4426258510537362,0.010948796781119041,0.2614633944678968,0.5586866318276372,3.877045583068095,0.5609026102593563,-3.72,-1.98,3.31,1.76,-3.71,3.31,-5.46,8.99,4.86,0.2828570536170484,66.85,0.88,5.36,0.68,0.36,0.68,0.69,1.19,5.32,127.79,11.71,1420.5,4.01,12.17,-3.33,-4.5,40.25,0.0,11.35,38.88,1.1547368179120696,0.4455313992414061,-0.17311338557558156,-0.1710105082047715,-0.08659752030503066,1.5200349186061288,813.8122799925062,-2.8923675420029102,1
1,0.06370410992767556,-1.7113215331515341,-0.20512820512820512,108.08,93.45,102.12,93.26,4.05,0.5089073056335868,103.63,41.4,0.9186937075683412,1.346287474780921,0.060277769670474574,0.0557592742456847,0.7901956458480756,9.192283837444963,0.5749941951285718,-19.64,-9.67,16.78,8.26,-15.77,13.47,-25.77,10.22,22.03,0.24012260794131365,53.96,0.81,5.52,0.76,0.38,0.61,0.8,1.07,5.62,176.68,-7.38,-1840.22,-2.69,5.84,5.3,12.84,410.96,0.0,-45.09,9.44,0.8444859068240229,0.17024542727364586,-0.1150683567005203,-0.11338957814370712,-0.057704784700043026,1.332863043156709,935.5781496460401,-2.698311490789317,1
3,0.002476377089535054,25.738206030340862,-0.17391304347826084,100.27,86.85,193.06,99.72,0.18,0.6590687248067731,193.31,53.3,0.9947076185292846,0.5582413990547016,0.2033414520327861,-1.4035361738047358,2.1908576700342905,1.7256894651146328,0.7735388634990403,-83.89,-30.08,-27.65,-9.91,-38.01,-12.53,-50.54,5.53,-16.66,0.3094380668593825,85.71,1.21,6.62,1.66,0.6,0.75,1.42,7.09,13.23,2.97,-28.32,-164.58,-17.29,-4.98,-13.68,-23.29,0.0,0.0,-65.65,24.34,0.0683681561537647,0.04622189604619338,-0.1900205910362356,-0.18977476176017788,-0.12507461023378966,-0.5002579412139518,1281.6026044171508,0.5468141562783293,1
5,0.07221210916764409,-4.531017235906429,-0.18086500655307994,8.14,4.4,0.0,0.0,-129.91,1.6806215492543044,0.0,105.54,-2.136723908655847,-1.4327242026782936,0.025409641706535827,1.2004272523839483,-0.02146171637001207,0.12190459829332193,0.8888159034653914,0.0,-57.3,0.0,-10.93,-60.77,-11.59,-157.32,25.5,-30.01,0.05011081041560822,125.0,3.28,6.95,0.0,0.36,0.39,0.44,11.87,2.57,0.49,-94.25,-60.58,-44.78,-37.83,0.0,-21.07,0.0,0.0,-33.72,-63.06,0.04755795440771073,0.31209319468245555,-0.022330827140291318,-0.018790211494420117,-0.03157923435256838,-5.611289866159298,2999.8906950747523,6.587667924120997,1
6,-0.4845859841843114,-2.4692819543392357,-0.1008,92.67,56.05,388.2,2895.84,-0.87,0.9692836366415232,3155.59,0.0,1.009919743366457,0.09810088749232572,0.018014809204464816,-11.394463022785963,8.32690537988916,3.7763703913203326,0.9064850783634184,0.0,50.78,0.0,-10.05,52.59,-10.41,171.83,19.2,-34.01,0.07448197114812713,126.56,4.59,6.09,0.0,0.3,0.31,0.33,12.98,2.91,0.38,235.11,93.99,73.61,-10.63,0.0,-41.1,0.0,0.0,-7.93,-14.18,0.0940887049951923,0.019686419573747144,-0.2454020189502064,-0.030189424253164163,-0.029262114928220763,-5.91084716471704,3183.1898604833477,0.8116757445828717,1
7,0.0068394252602144425,-0.9182647916720492,0.023131672597864767,43.3,23.18,0.0,0.0,-11.34,1.1182065135232575,0.0,0.0,1.141755211518117,-0.3285431024464493,0.021023073266466224,4.697154113993904,-2.47926511877863,3.1198534386278545,0.9219179430410828,0.0,-14.37,0.0,-9.47,-14.51,-9.57,-42.86,23.29,-28.25,0.02063517074490105,126.19,5.85,7.97,0.0,0.34,0.34,0.37,16.31,55.33,0.41,19.16,8.33,6.89,-12.73,0.0,0.29,0.0,0.0,-8.39,-31.61,0.0352645637854969,0.008957617763065254,-0.06747489609356748,-0.01206857604726123,-0.013495160344998279,-4.834668069124752,5634.402179378418,1.6307082110888542,1
8,-0.2493394668622509,-1.5939306207525308,0.08620689655172414,181.41,122.44,51.9,58.04,27.76,0.3429528376185961,52.2,15.1,0.5786914148192118,0.8142830731288903,0.025550650116918632,-0.2096763508742868,0.5569823431096973,3.2271712429349093,0.8140544386590255,-41.14,-26.11,-41.4,-26.28,-28.58,-28.76,-35.44,0.09,-35.67,0.3779795097604576,93.73,1.36,3.3,1.16,0.74,0.81,3.15,3.33,10.13,8.84,-11.24,-57.42,-9.07,-15.97,-10.39,-38.1,0.0,0.0,702.42,-41.61,0.3304492252090713,0.10924113419860493,-0.5595254569243495,-0.5564047694206146,-0.1908205945373204,-11.264889352966016,1107.6699984251356,-0.5370558540982585,1
9,-0.21943073979398026,-1.1629392116349748,-0.6,36.5,35.0,2131.13,1459.83,-60.48,0.955309320910638,2137.6,72.68,13.711059001257027,0.02283816706372644,0.023654470020085104,-123.3279865242807,54.11332927888097,134.2598001670074,0.3821862590697016,-632.8,-77.01,-543.32,-66.12,-129.36,-111.07,-48.82,6.9,-41.92,0.5075955813856479,98.24,3.14,70.83,12.96,1.58,2.65,3.32,9.86,97.83,140.32,24.48,3330.58,47.91,-32.48,-82.63,-10.21,0.0,0.0,6.5,-63.6,1.0651711670048334,0.008076060871021152,-0.8489573906924595,-0.8463872493178315,-0.8085616283732405,-34.67474005283986,1000.0,0.9097867600426934,1
10,-0.2991272183205577,-0.1387983049724146,-0.3628318584070797,194.72,115.26,49.62,54.49,31.1,0.33822626720380605,51.11,16.25,0.5369284685873167,0.8896002670003699,0.06664497336811229,-0.13451309056715802,0.3364219324714373,1.2206321936444084,0.8015016025480013,3.48,2.01,8.53,4.93,2.18,5.36,2.62,1.63,6.43,0.5163987260714106,41.93,2.33,2.26,1.33,0.77,0.83,2.3,8.31,5.18,38.11,15.06,768.78,11.2,6.1,43.9,-60.53,0.0,0.0,-40.43,-2.61,0.1269667416836469,0.2480974407325397,-0.2804945459955031,-0.27230151460037805,-0.09209952483722857,0.7181919374708584,827.9086684055625,-0.2523890809758759,1
11,-0.17036528205644708,-2.265528018595301,0.4444444444444444,234.53,158.07,43.79,42.86,40.47,0.31302370955743075,45.57,14.61,0.42114261567165584,0.8412079325585522,0.16281782368286235,-0.5449387127809636,0.5624442690209931,1.4695784311000282,0.8980140620307504,-38.3,-25.8,2.35,1.58,-27.72,1.7,-33.42,0.86,2.05,0.5384684181757027,44.11,1.82,3.13,1.15,0.77,0.83,2.34,11.8,10.75,39.01,-19.37,-617.62,-15.82,-10.36,-6.94,-1.59,-68.7,0.0,57.53,-1.08,0.11817614491783425,0.18231976186443616,0.14554930805612493,0.13987912119058804,0.043785481404711286,0.10265178421163544,558.4483810248372,-0.01739151870441744,1
